label,text,lang
spam,亲，春节专享福利，拼多多理财金仅剩最后一天，赶快完成认证！恭喜您抽中10000元理财金，请在24小时内完成认证，失效作废。,chinese
spam,【工行】您的快递已到，请点击链接联系客服确认信息。,chinese
spam,低息贷款、快速到账，额度100元起，dianji核实信息申请。,chinese
spam,低息贷款、快速到账，额度100元起，点☆击激活账户申请。,chinese
spam,【招商银行】尊敬的用户，您已获得888元体验金，请及时登录账户，回T退订。,chinese
spam,【工商银行】尊敬的客户，您的账户异常，请及时dianji领取以免影响使用。,chinese
spam,重要通知：建行提醒您尽快dianji领取，避免影响正常使用。,chinese
spam,【中通】您的快递已到，请点击链接登录账户确认信息。,chinese
spam,兼职日结500元，无需经验，扫码登录账户即可开始。,chinese
spam,亲，国庆专享福利，中国移动hongbao仅剩最后一天，赶快登录账户！恭喜您抽中888元hongbao，请在24小时内登录账户，失效作废。,chinese
spam,【京东金融】尊敬的客户，您的账户异常，请及时下载APP以免影响使用。,chinese
spam,房贷利率下调，最高可贷1000万，马上联系客服了解详情。,chinese
spam,恭喜获得滴滴专属会员权益，限时领取，过期失效。,chinese
spam,亲，新年专享福利，微信体验金仅剩最后一天，赶快下载APP！恭喜您抽中5000元体验金，请在24小时内下载APP，失效作废。,chinese
spam,重要通知：建行提醒您尽快点击领取，避免影响正常使用。,chinese
spam,尊敬的客户，您的信用卡已通过审批，额度高达100元，点击补充信息激活。,chinese
spam,兼职日结500元，无需经验，扫码核实信息即可开始。,chinese
spam,低息贷款、快速到账，额度888元起，dianji完成认证申请。,chinese
spam,尊敬的工行会员，您的积分将过期，抓紧下载APP兑换好礼！,chinese
spam,【中通】您的快递已到，请点击链接激活账户确认信息。,chinese
spam,【拼多多】尊敬的客户，您的账户异常，请及时点☆击领取以免影响使用。,chinese
spam,【工商银行】您的快递已到，请点☆击链接核实信息确认信息。,chinese
spam,【工行】您的快递已到，请点☆击链接激活账户确认信息。,chinese
spam,恭喜获得中通专属优惠券，限时领取，过期失效。,chinese
spam,尊敬的客户，您的信用卡已通过审批，额度高达500元，dianjidianji领取激活。,chinese
spam,低息贷款、快速到账，额度1000元起，点击点击领取申请。,chinese
spam,尊敬的客户，您的信用卡已通过审批，额度高达200元，点☆击联系客服激活。,chinese
spam,房贷利率下调，最高可贷888万，马上完成认证了解详情。,chinese
spam,兼职日结1000元，无需经验，扫码点☆击领取即可开始。,chinese
spam,恭喜获得支付宝专属理财金，限时领取，过期失效。,chinese
spam,恭喜获得工行专属积分，限时领取，过期失效。,chinese
spam,重要通知：拼多多提醒您尽快登录账户，避免影响正常使用。,chinese
spam,低息贷款、快速到账，额度100元起，点☆击立即领取申请。,chinese
spam,【顺丰】您的快递已到，请点击链接联系客服确认信息。,chinese
spam,尊敬的客户，您的信用卡已通过审批，额度高达200元，点击补充信息激活。,chinese
spam,恭喜获得微信专属积分，限时领取，过期失效。,chinese
spam,尊敬的客户，您的信用卡已通过审批，额度高达5000元，dianji补充信息激活。,chinese
spam,尊敬的客户，您的信用卡已通过审批，额度高达500元，点击下载APP激活。,chinese
spam,尊敬的顺丰会员，您的积分将过期，抓紧核实信息兑换好礼！,chinese
spam,尊敬的客户，您的信用卡已通过审批，额度高达3000元，dianjidianji领取激活。,chinese
spam,尊敬的客户，您的信用卡已通过审批，额度高达500元，点☆击下载APP激活。,chinese
spam,尊敬的客户，您的信用卡已通过审批，额度高达5000元，点☆击补充信息激活。,chinese
spam,【中通】您的快递已到，请点☆击链接联系客服确认信息。,chinese
spam,重要通知：工行提醒您尽快完成认证，避免影响正常使用。,chinese
spam,【支付宝】尊敬的用户，您已获得3000元体验金，请及时完成认证，回T退订。,chinese
spam,重要通知：支付宝提醒您尽快点☆击领取，避免影响正常使用。,chinese
spam,重要通知：工商银行提醒您尽快立即领取，避免影响正常使用。,chinese
spam,重要通知：中国移动提醒您尽快联系客服，避免影响正常使用。,chinese
spam,亲，春节专享福利，支付宝红包🧧仅剩最后一天，赶快完成认证！恭喜您抽中500元红包🧧，请在24小时内完成认证，失效作废。,chinese
spam,低息贷款、快速到账，额度3000元起，点击立即领取申请。,chinese
spam,尊敬的客户，您的信用卡已通过审批，额度高达200元，点击联系客服激活。,chinese
spam,兼职日结200元，无需经验，扫码登录账户即可开始。,chinese
spam,兼职日结100元，无需经验，扫码点击领取即可开始。,chinese
spam,【支付宝】尊敬的用户，您已获得200元红包🧧，请及时核实信息，回T退订。,chinese
spam,兼职日结5000元，无需经验，扫码立即领取即可开始。,chinese
spam,重要通知：招商银行提醒您尽快下载APP，避免影响正常使用。,chinese
spam,房贷利率下调，最高可贷888万，马上完成认证了解详情。,chinese
spam,亲，春节专享福利，招商银行话费仅剩最后一天，赶快激活账户！恭喜您抽中200元话费，请在24小时内激活账户，失效作废。,chinese
spam,【顺丰】您的快递已到，请点击链接下载APP确认信息。,chinese
spam,低息贷款、快速到账，额度888元起，点☆击完成认证申请。,chinese
spam,房贷利率下调，最高可贷888万，马上激活账户了解详情。,chinese
spam,【滴滴】尊敬的用户，您已获得500元体验金，请及时立即领取，回T退订。,chinese
spam,【中通】您的快递已到，请点击链接联系客服确认信息。,chinese
spam,低息贷款、快速到账，额度10000元起，dianji核实信息申请。,chinese
spam,尊敬的客户，您的信用卡已通过审批，额度高达5000元，点击补充信息激活。,chinese
spam,【中国移动】尊敬的用户，您已获得888元流量包，请及时点击领取，回T退订。,chinese
spam,重要通知：拼多多提醒您尽快登录账户，避免影响正常使用。,chinese
spam,尊敬的滴滴会员，您的积分将过期，抓紧点击领取兑换好礼！,chinese
spam,恭喜获得中通专属购车券，限时领取，过期失效。,chinese
spam,【中国移动】尊敬的用户，您已获得888元流量包，请及时dianji领取，回T退订。,chinese
spam,亲，中秋专享福利，滴滴购车券仅剩最后一天，赶快登录账户！恭喜您抽中888元购车券，请在24小时内登录账户，失效作废。,chinese
spam,尊敬的客户，您的信用卡已通过审批，额度高达100元，dianji核实信息激活。,chinese
spam,【中国移动】您的快递已到，请点击链接立即领取确认信息。,chinese
spam,尊敬的客户，您的信用卡已通过审批，额度高达3000元，点击点击领取激活。,chinese
spam,低息贷款、快速到账，额度1000元起，点☆击下载APP申请。,chinese
spam,低息贷款、快速到账，额度100元起，dianji立即领取申请。,chinese
spam,【中通】您的快递已到，请点击链接联系客服确认信息。,chinese
spam,【京东金融】您的快递已到，请点击链接点击领取确认信息。,chinese
spam,低息贷款、快速到账，额度10000元起，点☆击核实信息申请。,chinese
spam,亲，中秋专享福利，中通优惠券仅剩最后一天，赶快激活账户！恭喜您抽中888元优惠券，请在24小时内激活账户，失效作废。,chinese
spam,兼职日结100元，无需经验，扫码下载APP即可开始。,chinese
spam,【工商银行】您的快递已到，请dianji链接核实信息确认信息。,chinese
spam,低息贷款、快速到账，额度3000元起，点击下载APP申请。,chinese
spam,尊敬的支付宝会员，您的积分将过期，抓紧核实信息兑换好礼！,chinese
spam,低息贷款、快速到账，额度100元起，点击立即领取申请。,chinese
spam,尊敬的京东金融会员，您的积分将过期，抓紧激活账户兑换好礼！,chinese
spam,尊敬的客户，您的信用卡已通过审批，额度高达500元，点击点击领取激活。,chinese
spam,尊敬的客户，您的信用卡已通过审批，额度高达200元，点☆击补充信息激活。,chinese
spam,【中通】您的快递已到，请dianji链接激活账户确认信息。,chinese
spam,【工行】尊敬的客户，您的账户异常，请及时完成认证以免影响使用。,chinese
spam,【工商银行】您的快递已到，请点☆击链接核实信息确认信息。,chinese
spam,尊敬的客户，您的信用卡已通过审批，额度高达500元，点☆击立即领取激活。,chinese
spam,恭喜获得顺丰专属会员权益，限时领取，过期失效。,chinese
spam,【建行】您的快递已到，请dianji链接登录账户确认信息。,chinese
spam,【工商银行】尊敬的客户，您的账户异常，请及时点☆击领取以免影响使用。,chinese
spam,尊敬的工行会员，您的积分将过期，抓紧完成认证兑换好礼！,chinese
spam,重要通知：招商银行提醒您尽快补充信息，避免影响正常使用。,chinese
spam,【京东金融】尊敬的用户，您已获得10000元优惠券，请及时补充信息，回T退订。,chinese
spam,尊敬的顺丰会员，您的积分将过期，抓紧完成认证兑换好礼！,chinese
spam,兼职日结1000元，无需经验，扫码点击领取即可开始。,chinese
spam,尊敬的支付宝会员，您的积分将过期，抓紧激活账户兑换好礼！,chinese
spam,【建行】您的快递已到，请点☆击链接登录账户确认信息。,chinese
spam,亲，618专享福利，京东金融积分仅剩最后一天，赶快联系客服！恭喜您抽中100元积分，请在24小时内联系客服，失效作废。,chinese
spam,亲，双11专享福利，招商银行体验金仅剩最后一天，赶快立即领取！恭喜您抽中10000元体验金，请在24小时内立即领取，失效作废。,chinese
spam,【工商银行】尊敬的用户，您已获得888元积分，请及时激活账户，回T退订。,chinese
spam,兼职日结500元，无需经验，扫码立即领取即可开始。,chinese
spam,低息贷款、快速到账，额度500元起，点☆击核实信息申请。,chinese
spam,重要通知：工商银行提醒您尽快补充信息，避免影响正常使用。,chinese
spam,恭喜获得微信专属体验金，限时领取，过期失效。,chinese
spam,【中国移动】尊敬的用户，您已获得888元流量包，请及时点☆击领取，回T退订。,chinese
spam,【工行】您的快递已到，请dianji链接联系客服确认信息。,chinese
spam,兼职日结1000元，无需经验，扫码dianji领取即可开始。,chinese
spam,兼职日结500元，无需经验，扫码激活账户即可开始。,chinese
spam,尊敬的客户，您的信用卡已通过审批，额度高达200元，dianji补充信息激活。,chinese
spam,亲，新年专享福利，中通红包仅剩最后一天，赶快完成认证！恭喜您抽中200元红包，请在24小时内完成认证，失效作废。,chinese
spam,【京东】尊敬的客户，您的账户异常，请及时补充信息以免影响使用。,chinese
spam,亲，双11专享福利，支付宝红包🧧仅剩最后一天，赶快点击领取！恭喜您抽中5000元红包🧧，请在24小时内点击领取，失效作废。,chinese
spam,【京东】尊敬的用户，您已获得100元优惠券，请及时完成认证，回T退订。,chinese
spam,低息贷款、快速到账，额度3000元起，点☆击下载APP申请。,chinese
spam,尊敬的客户，您的信用卡已通过审批，额度高达200元，dianji联系客服激活。,chinese
spam,低息贷款、快速到账，额度888元起，点击完成认证申请。,chinese
spam,低息贷款、快速到账，额度3000元起，dianji立即领取申请。,chinese
spam,兼职日结500元，无需经验，扫码激活账户即可开始。,chinese
spam,亲，春节专享福利，支付宝hongbao仅剩最后一天，赶快完成认证！恭喜您抽中500元hongbao，请在24小时内完成认证，失效作废。,chinese
spam,亲，双11专享福利，支付宝红包仅剩最后一天，赶快点☆击领取！恭喜您抽中5000元红包，请在24小时内点☆击领取，失效作废。,chinese
spam,房贷利率下调，最高可贷100万，马上核实信息了解详情。,chinese
spam,亲，春节专享福利，工商银行购车券仅剩最后一天，赶快补充信息！恭喜您抽中100元购车券，请在24小时内补充信息，失效作废。,chinese
spam,尊敬的客户，您的信用卡已通过审批，额度高达1000元，dianji联系客服激活。,chinese
spam,【京东金融】您的快递已到，请dianji链接dianji领取确认信息。,chinese
